Al Density=2.699, Angle=90.deg
Photon Energy (eV), Atten Length (microns)
30.0000, 0.410284
30.3527, 0.409487
30.7096, 0.408690
31.0706, 0.407895
31.4359, 0.407102
31.8055, 0.406311
32.1795, 0.405520
32.5578, 0.405062
32.9406, 0.405424
33.3279, 0.406833
33.7197, 0.408249
34.1162, 0.409669
34.5173, 0.411094
34.9231, 0.412524
35.3337, 0.413959
35.7491, 0.415399
36.1694, 0.416845
36.5947, 0.418294
37.0249, 0.419748
37.4602, 0.421208
37.9006, 0.422673
38.3462, 0.424143
38.7971, 0.425619
39.2532, 0.427100
39.7147, 0.428586
40.1817, 0.430076
40.6541, 0.431742
41.1320, 0.433798
41.6156, 0.436918
42.1049, 0.440060
42.6000, 0.443225
43.1008, 0.446413
43.6075, 0.449623
44.1202, 0.452857
44.6390, 0.456113
45.1638, 0.459393
45.6948, 0.462698
46.2320, 0.466026
46.7756, 0.469377
47.3255, 0.472753
47.8819, 0.480632
48.4449, 0.490664
49.0145, 0.502245
49.5907, 0.514099
50.1738, 0.526232
50.7637, 0.538651
51.3605, 0.551364
51.9644, 0.564378
52.5753, 0.577699
53.1934, 0.590924
53.8188, 0.603057
54.4516, 0.614403
55.0918, 0.625786
55.7395, 0.637379
56.3949, 0.649189
57.0579, 0.661216
57.7287, 0.673466
58.4074, 0.685945
59.0942, 0.698653
59.7889, 0.709030
60.4919, 0.717569
61.2031, 0.724964
61.9226, 0.732434
62.6507, 0.739983
63.3873, 0.745390
64.1325, 0.736074
64.8865, 0.725844
65.6494, 0.715432
66.4213, 0.705170
67.2022, 0.695052
67.9923, 0.686194
68.7917, 0.678130
69.6005, 0.670321
70.4188, 0.662598
71.2467, 0.654966
72.0843, 0.647422
72.9318, 5.638219E-02
73.7893, 5.478403E-02
74.6569, 5.323124E-02
75.5346, 5.172265E-02
76.4227, 5.025671E-02
77.3212, 4.883215E-02
78.2303, 4.744791E-02
79.1500, 4.610310E-02
80.0806, 4.479636E-02
81.0221, 4.358308E-02
81.9747, 4.245036E-02
82.9385, 4.135177E-02
83.9136, 4.028174E-02
84.9002, 3.923930E-02
85.8984, 3.824051E-02
86.9083, 3.758289E-02
87.9301, 3.719293E-02
88.9639, 3.692907E-02
90.0098, 3.666711E-02
91.0681, 3.640701E-02
92.1388, 3.614875E-02
93.2221, 3.589231E-02
94.3181, 3.563773E-02
95.4270, 3.538493E-02
96.5489, 3.513394E-02
97.6841, 3.488475E-02
98.8326, 3.463727E-02
99.9945, 3.439157E-02
101.170, 3.414757E-02
102.360, 3.390524E-02
103.563, 3.368614E-02
104.781, 3.350143E-02
106.013, 3.334108E-02
107.259, 3.318170E-02
108.520, 3.302292E-02
109.796, 3.286485E-02
111.087, 3.270749E-02
112.393, 3.255103E-02
113.714, 3.239533E-02
115.051, 3.224041E-02
116.404, 3.208632E-02
117.773, 3.193267E-02
119.157, 3.177984E-02
120.558, 3.162785E-02
121.976, 3.147656E-02
123.410, 3.132592E-02
124.861, 3.135638E-02
126.329, 3.159688E-02
127.814, 3.193505E-02
129.900, 3.240949E-02
229.800, 7.921837E-02
329.700, 0.180208
429.600, 0.335773
529.500, 0.564215
629.400, 0.887205
729.300, 1.31755
829.200, 1.86537
929.100, 2.54615
1029.00, 3.36499
1128.90, 4.34053
1228.80, 5.48569
1328.70, 6.78273
1428.60, 8.24899
1528.50, 9.96416
1628.40, 0.984754
