Energy (eV), Absorption length (um)
208.6, 0.1298
224.4, 0.1566
238.0, 0.1773
253.3, 0.2026
268.2, 0.2349
282.0, 0.2716
296.7, 0.3001
311.3, 0.3403
326.0, 0.3785
340.7, 0.4223
355.3, 0.4662
370.0, 0.5131
384.7, 0.5641
399.3, 0.6187
414.0, 0.6774
428.6, 0.7335
443.3, 0.7963
457.9, 0.8688
472.5, 0.9424
487.2, 1.013
501.8, 1.086
516.4, 1.171
527.8, 1.218
531.4, 1.036
534.1, 0.8678
535.5, 0.7475
538.6, 0.5532
545.2, 0.3719
559.9, 0.3783
574.6, 0.4036
589.3, 0.4280
603.9, 0.4570
618.6, 0.4859
633.3, 0.5144
648.0, 0.5464
662.6, 0.5780
677.3, 0.6152
692.0, 0.6457
706.7, 0.6818
721.3, 0.7154
736.0, 0.7546
750.7, 0.7949
765.3, 0.8377
780.0, 0.8764
794.7, 0.9258
809.3, 0.9717
824.0, 1.019
838.6, 1.066
853.3, 1.113
868.0, 1.164
882.6, 1.216
897.3, 1.269
911.9, 1.324
926.6, 1.378
941.2, 1.435
955.9, 1.496
970.5, 1.557
985.2, 1.621
999.8, 1.688
1014, 1.751
1029, 1.822
1044, 1.893
1058, 1.965
1073, 2.041
1088, 2.116
1102, 2.195
1117, 2.271
1132, 2.355
1146, 2.438
1161, 2.520
1175, 2.604
1190, 2.692
1205, 2.782
1219, 2.877
1234, 2.973
1249, 3.067
1263, 3.164
1278, 3.266
1292, 3.371
1307, 3.476
1322, 3.581
1336, 3.691
1351, 3.798
1365, 3.913
1380, 4.030
1395, 4.147
1409, 4.260
1422, 4.380
1436, 4.498
1450, 4.615
1465, 4.744
1478, 4.865
1493, 4.986
